* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 4, 2023 8:48:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.381	15.6914
20.299999	87.387	15.2172
20.600000	87.392	14.7635
20.900000	87.397	14.3258
21.200001	87.403	13.8988
21.400000	87.406	13.6182
21.799999	87.413	13.0662
22.000000	87.416	12.7949
22.400000	87.423	12.2621
22.700001	87.427	11.8713
23.000000	87.432	11.4863
23.299999	87.436	11.1058
23.600000	87.441	10.7289
24.000000	87.446	10.2327
24.299999	87.450	9.8669
24.700001	87.454	9.3904
25.000000	87.457	9.0420
25.400000	87.461	8.5883
25.799999	87.465	8.1440
26.200001	87.469	7.7073
26.500000	87.472	7.3848
26.900000	87.475	6.9625
27.200001	87.477	6.6526
27.600000	87.479	6.2487
28.000000	87.481	5.8546
28.500000	87.482	5.3733
29.000000	87.482	4.9031
29.500000	87.481	4.4438
30.000000	87.479	3.9956
30.400000	87.476	3.6439
30.700001	87.473	3.3836
31.100000	87.469	3.0403
31.500000	87.465	2.7010
32.000000	87.459	2.2822
32.500000	87.451	1.8690
33.000000	87.444	1.4611
33.500000	87.435	1.0580
34.000000	87.426	0.6600
34.500000	87.417	0.2690
35.000000	87.406	-0.1129
35.500000	87.395	-0.4828
36.000000	87.384	-0.8386
36.500000	87.373	-1.1779
37.000000	87.362	-1.4983
37.500000	87.352	-1.7985
38.200001	87.342	-2.1882
38.700001	87.339	-2.4556
39.500000	87.344	-2.9052
40.000000	87.349	-3.2214
40.599998	87.355	-3.6434
41.200001	87.355	-4.0972
41.799999	87.349	-4.5590
42.500000	87.335	-5.0844
43.099998	87.321	-5.5164
43.700001	87.305	-5.9326
44.400002	87.286	-6.3998
45.000000	87.269	-6.7856
45.500000	87.254	-7.0986
46.200001	87.235	-7.5269
46.799999	87.218	-7.8864
47.500000	87.198	-8.2972
48.200001	87.177	-8.6989
48.700001	87.163	-8.9808
49.400002	87.142	-9.3698
50.000000	87.124	-9.6974
50.799999	87.100	-10.1270
51.500000	87.079	-10.4981
52.200001	87.058	-10.8657
53.000000	87.034	-11.2803
53.799999	87.008	-11.6868
54.500000	86.985	-12.0352
55.200001	86.962	-12.3766
56.000000	86.936	-12.7584
57.000000	86.903	-13.2247
58.000000	86.869	-13.6823
59.000000	86.836	-14.1342
60.000000	86.803	-14.5819
60.799999	86.776	-14.9368
61.500000	86.753	-15.2442
62.200001	86.729	-15.5482
63.000000	86.702	-15.8912
64.000000	86.668	-16.3135
65.000000	86.634	-16.7290
66.000000	86.598	-17.1368
67.000000	86.562	-17.5365
68.000000	86.525	-17.9289
69.000000	86.488	-18.3140
70.000000	86.450	-18.6920
71.000000	86.413	-19.0648
72.000000	86.375	-19.4323
73.000000	86.337	-19.7913
74.000000	86.298	-20.1396
75.000000	86.259	-20.4768
76.199997	86.210	-20.8689
77.500000	86.156	-21.2827
78.800003	86.101	-21.6882
