* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 5, 2023 3:57:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 5
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.582	15.6284
20.299999	88.590	15.1858
20.600000	88.597	14.7515
20.900000	88.604	14.3254
21.200001	88.610	13.9077
21.400000	88.614	13.6339
21.799999	88.620	13.0963
22.000000	88.624	12.8322
22.400000	88.629	12.3123
22.700001	88.633	11.9294
23.000000	88.636	11.5526
23.299999	88.639	11.1819
23.600000	88.642	10.8172
24.000000	88.644	10.3397
24.299999	88.646	9.9879
24.700001	88.647	9.5266
25.000000	88.648	9.1865
25.400000	88.648	8.7418
25.799999	88.648	8.3079
26.200001	88.648	7.8855
26.500000	88.647	7.5762
26.900000	88.646	7.1731
27.200001	88.646	6.8774
27.600000	88.645	6.4917
28.000000	88.645	6.1153
28.500000	88.646	5.6564
29.000000	88.648	5.2043
29.500000	88.650	4.7511
30.000000	88.653	4.2917
30.400000	88.654	3.9211
30.700001	88.653	3.6439
31.100000	88.652	3.2783
31.500000	88.649	2.9194
32.000000	88.644	2.4805
32.500000	88.639	2.0505
33.000000	88.633	1.6287
33.500000	88.626	1.2164
34.000000	88.619	0.8141
34.500000	88.612	0.4203
35.000000	88.605	0.0328
35.500000	88.598	-0.3494
36.000000	88.590	-0.7259
36.500000	88.583	-1.0963
37.000000	88.574	-1.4607
37.500000	88.566	-1.8197
38.200001	88.554	-2.3126
38.700001	88.544	-2.6573
39.500000	88.530	-3.1987
40.000000	88.520	-3.5330
40.599998	88.508	-3.9303
41.200001	88.495	-4.3210
41.799999	88.482	-4.7035
42.500000	88.467	-5.1412
43.099998	88.454	-5.5125
43.700001	88.441	-5.8815
44.400002	88.425	-6.3075
45.000000	88.410	-6.6671
45.500000	88.398	-6.9617
46.200001	88.380	-7.3655
46.799999	88.364	-7.7035
47.500000	88.346	-8.0902
48.200001	88.328	-8.4713
48.700001	88.314	-8.7408
49.400002	88.295	-9.1144
50.000000	88.278	-9.4299
50.799999	88.255	-9.8430
51.500000	88.234	-10.1974
52.200001	88.213	-10.5463
53.000000	88.189	-10.9387
53.799999	88.165	-11.3235
54.500000	88.144	-11.6528
55.200001	88.122	-11.9746
56.000000	88.098	-12.3340
57.000000	88.069	-12.7711
58.000000	88.040	-13.1958
59.000000	88.013	-13.6152
60.000000	87.986	-14.0350
60.799999	87.965	-14.3724
61.500000	87.947	-14.6703
62.200001	87.928	-14.9716
63.000000	87.906	-15.3193
64.000000	87.877	-15.7565
65.000000	87.846	-16.1897
66.000000	87.814	-16.6154
67.000000	87.780	-17.0330
68.000000	87.745	-17.4401
69.000000	87.710	-17.8363
70.000000	87.674	-18.2236
71.000000	87.638	-18.6027
72.000000	87.601	-18.9738
73.000000	87.564	-19.3378
74.000000	87.526	-19.6945
75.000000	87.489	-20.0442
76.199997	87.444	-20.4565
77.500000	87.395	-20.8945
78.800003	87.345	-21.3223
80.000000	87.300	-21.7083
81.199997	87.253	-22.0842
82.500000	87.203	-22.4799
83.800003	87.153	-22.8668
85.000000	87.106	-23.2183
86.199997	87.059	-23.5640
87.500000	87.008	-23.9323
88.500000	86.969	-24.2112
90.000000	86.910	-24.6213
91.199997	86.862	-24.9409
92.500000	86.810	-25.2797
93.800003	86.759	-25.6121
95.000000	86.710	-25.9135
96.199997	86.662	-26.2089
97.500000	86.610	-26.5219
98.800003	86.557	-26.8279
100.000000	86.509	-27.1049
101.500000	86.448	-27.4437
103.000000	86.387	-27.7732
104.400002	86.329	-28.0720
106.000000	86.264	-28.4050
107.500000	86.203	-28.7115
109.000000	86.142	-29.0133
110.599998	86.076	-29.3282
112.000000	86.018	-29.5960
113.800003	85.943	-29.9282
115.000000	85.893	-30.1432
117.199997	85.801	-30.5275
118.000000	85.767	-30.6644
120.599998	85.657	-31.0961
122.000000	85.596	-31.3180
124.099998	85.505	-31.6357
125.000000	85.466	-31.7662
126.500000	85.399	-31.9761
128.000000	85.332	-32.1759
131.500000	85.171	-32.5980
132.000000	85.147	-32.6525
134.000000	85.052	-32.8512
136.000000	84.953	-33.0113
138.000000	84.851	-33.1151
140.000000	84.747	-33.1362
143.000000	84.597	-32.9464
145.000000	84.514	-32.6498
147.500000	84.454	-32.1499
150.000000	84.457	-31.7178
152.500000	84.507	-31.6462
155.000000	84.557	-32.0594
157.500000	84.563	-32.8032
160.000000	84.519	-33.6173
162.500000	84.439	-34.3342
165.000000	84.341	-34.9059
167.500000	84.236	-35.3521
170.000000	84.130	-35.7069
172.500000	84.026	-35.9969
175.000000	83.924	-36.2406
177.500000	83.825	-36.4501
180.000000	83.727	-36.6329
182.500000	83.631	-36.7943
185.000000	83.538	-36.9380
187.500000	83.445	-37.0667
190.000000	83.355	-37.1818
192.500000	83.266	-37.2850
195.000000	83.178	-37.3776
197.500000	83.091	-37.4604
200.000000	83.006	-37.5339
203.000000	82.905	-37.6104
206.000000	82.806	-37.6749
209.000000	82.708	-37.7291
