
Frequency	dB	Unweighted
20.000000	81.834	59.4182
20.299999	81.906	58.6974
20.600000	81.976	57.9844
20.900000	82.042	57.2831
21.200001	82.105	56.5990
21.400000	82.145	56.1543
21.799999	82.224	55.2917
22.000000	82.263	54.8719
22.400000	82.340	54.0477
22.700001	82.397	53.4368
23.000000	82.453	52.8283
23.299999	82.506	52.2232
23.600000	82.557	51.6242
24.000000	82.621	50.8409
24.299999	82.667	50.2683
24.700001	82.727	49.5247
25.000000	82.770	48.9799
25.400000	82.827	48.2667
25.799999	82.882	47.5653
26.200001	82.936	46.8744
26.500000	82.975	46.3627
26.900000	83.026	45.6886
27.200001	83.064	45.1885
27.600000	83.112	44.5284
28.000000	83.159	43.8763
28.500000	83.214	43.0739
29.000000	83.267	42.2874
29.500000	83.318	41.5173
30.000000	83.365	40.7640
30.400000	83.402	40.1741
30.700001	83.429	39.7394
31.100000	83.463	39.1699
31.500000	83.497	38.6109
32.000000	83.538	37.9247
32.500000	83.577	37.2501
33.000000	83.614	36.5864
33.500000	83.650	35.9342
34.000000	83.684	35.2945
34.500000	83.716	34.6675
35.000000	83.746	34.0521
35.500000	83.775	33.4467
36.000000	83.803	32.8507
36.500000	83.829	32.2657
37.000000	83.853	31.6933
37.500000	83.876	31.1344
38.200001	83.907	30.3710
38.700001	83.928	29.8361
39.500000	83.961	28.9948
40.000000	83.979	28.4784
40.599998	84.001	27.8694
41.200001	84.020	27.2728
41.799999	84.038	26.6887
42.500000	84.058	26.0234
43.099998	84.073	25.4665
43.700001	84.088	24.9213
44.400002	84.103	24.2993
45.000000	84.116	23.7778
45.500000	84.126	23.3505
46.200001	84.138	22.7621
46.799999	84.148	22.2673
47.500000	84.158	21.7023
48.200001	84.167	21.1492
48.700001	84.173	20.7604
49.400002	84.180	20.2255
50.000000	84.186	19.7771
50.799999	84.193	19.1921
51.500000	84.198	18.6886
52.200001	84.202	18.1933
53.000000	84.205	17.6418
53.799999	84.208	17.1058
54.500000	84.209	16.6470
55.200001	84.210	16.1968
56.000000	84.210	15.6937
57.000000	84.209	15.0814
58.000000	84.206	14.4859
59.000000	84.204	13.9062
60.000000	84.200	13.3406
60.799999	84.197	12.8974
61.500000	84.194	12.5167
62.200001	84.190	12.1431
63.000000	84.185	11.7252
64.000000	84.178	11.2172
65.000000	84.170	10.7239
66.000000	84.162	10.2426
67.000000	84.153	9.7716
68.000000	84.143	9.3115
69.000000	84.133	8.8619
70.000000	84.123	8.4222
71.000000	84.113	7.9929
72.000000	84.102	7.5751
73.000000	84.090	7.1689
74.000000	84.078	6.7733
75.000000	84.066	6.3878
76.199997	84.051	5.9366
77.500000	84.034	5.4594
78.800003	84.016	4.9937
80.000000	83.999	4.5764
81.199997	83.984	4.1692
82.500000	83.967	3.7347
83.800003	83.949	3.3096
85.000000	83.932	2.9277
86.199997	83.915	2.5560
87.500000	83.894	2.1644
88.500000	83.878	1.8705
90.000000	83.854	1.4398
91.199997	83.834	1.1034
92.500000	83.812	0.7474
93.800003	83.790	0.4014
95.000000	83.768	0.0912
96.199997	83.746	-0.2102
97.500000	83.722	-0.5268
98.800003	83.696	-0.8329
100.000000	83.672	-1.1051
101.500000	83.641	-1.4306
103.000000	83.609	-1.7374
104.400002	83.578	-2.0048
106.000000	83.542	-2.2853
107.500000	83.508	-2.5219
109.000000	83.475	-2.7315
110.599998	83.441	-2.9260
112.000000	83.413	-3.0728
113.800003	83.379	-3.2290
115.000000	83.357	-3.3111
117.199997	83.324	-3.4125
118.000000	83.315	-3.4343
120.599998	83.298	-3.4692
122.000000	83.298	-3.4807
124.099998	83.309	-3.5128
125.000000	83.318	-3.5369
126.500000	83.337	-3.5969
128.000000	83.362	-3.6882
131.500000	83.440	-4.0842
132.000000	83.452	-4.1686
134.000000	83.501	-4.5873
136.000000	83.540	-5.1246
138.000000	83.564	-5.7421
140.000000	83.569	-6.3868
143.000000	83.551	-7.3110
145.000000	83.526	-7.8667
147.500000	83.488	-8.4872
150.000000	83.447	-9.0370
152.500000	83.405	-9.5313
155.000000	83.364	-9.9830
157.500000	83.324	-10.4017
160.000000	83.285	-10.7950
162.500000	83.247	-11.1689
165.000000	83.211	-11.5269
167.500000	83.175	-11.8715
170.000000	83.140	-12.2048
172.500000	83.105	-12.5284
175.000000	83.072	-12.8432
177.500000	83.039	-13.1497
180.000000	83.006	-13.4487
182.500000	82.974	-13.7409
185.000000	82.943	-14.0268
187.500000	82.912	-14.3066
190.000000	82.881	-14.5810
192.500000	82.851	-14.8506
195.000000	82.821	-15.1157
197.500000	82.791	-15.3773
200.000000	82.762	-15.6364
203.000000	82.728	-15.9448
206.000000	82.693	-16.2502
209.000000	82.658	-16.5522
212.000000	82.623	-16.8506
214.000000	82.600	-17.0471
218.000000	82.553	-17.4330
220.000000	82.529	-17.6226
224.000000	82.481	-17.9957
227.000000	82.445	-18.2704
230.000000	82.409	-18.5400
233.000000	82.373	-18.8043
236.000000	82.336	-19.0635
240.000000	82.286	-19.4008
243.000000	82.249	-19.6473
247.000000	82.198	-19.9667
250.000000	82.160	-20.1987
254.000000	82.108	-20.4976
258.000000	82.055	-20.7837
262.000000	82.001	-21.0544
265.000000	81.960	-21.2452
269.000000	81.905	-21.4811
272.000000	81.863	-21.6426
276.000000	81.807	-21.8354
280.000000	81.751	-22.0000
285.000000	81.681	-22.1628
290.000000	81.614	-22.2741
295.000000	81.550	-22.3276
300.000000	81.492	-22.3132
304.000000	81.452	-22.2473
307.000000	81.428	-22.1661
311.000000	81.407	-22.0235
315.000000	81.402	-21.8638
320.000000	81.423	-21.7058
325.000000	81.469	-21.6918
330.000000	81.527	-21.8966
335.000000	81.579	-22.3224
340.000000	81.612	-22.9062
345.000000	81.621	-23.5623
350.000000	81.609	-24.2222
355.000000	81.582	-24.8472
