
Frequency	dB	Unweighted
20.000000	88.925	-160.6386
20.299999	88.940	-160.9926
20.600000	88.953	-161.3370
20.900000	88.965	-161.6703
21.200001	88.977	-161.9922
21.400000	88.985	-162.2015
21.799999	89.002	-162.6101
22.000000	89.010	-162.8107
22.400000	89.026	-163.2069
22.700001	89.038	-163.4996
23.000000	89.049	-163.7880
23.299999	89.060	-164.0714
23.600000	89.071	-164.3494
24.000000	89.084	-164.7123
24.299999	89.094	-164.9790
24.700001	89.107	-165.3273
25.000000	89.116	-165.5827
25.400000	89.128	-165.9145
25.799999	89.139	-166.2360
26.200001	89.151	-166.5482
26.500000	89.159	-166.7774
26.900000	89.170	-167.0778
27.200001	89.178	-167.2997
27.600000	89.189	-167.5908
28.000000	89.199	-167.8760
28.500000	89.210	-168.2237
29.000000	89.222	-168.5628
29.500000	89.232	-168.8948
30.000000	89.242	-169.2203
30.400000	89.249	-169.4753
30.700001	89.255	-169.6628
31.100000	89.262	-169.9079
31.500000	89.268	-170.1480
32.000000	89.277	-170.4430
32.500000	89.286	-170.7340
33.000000	89.294	-171.0211
33.500000	89.302	-171.3033
34.000000	89.310	-171.5797
34.500000	89.317	-171.8501
35.000000	89.324	-172.1145
35.500000	89.331	-172.3734
36.000000	89.337	-172.6273
36.500000	89.343	-172.8766
37.000000	89.349	-173.1213
37.500000	89.354	-173.3607
38.200001	89.360	-173.6858
38.700001	89.364	-173.9112
39.500000	89.371	-174.2632
40.000000	89.375	-174.4798
40.599998	89.380	-174.7371
41.200001	89.385	-174.9920
41.799999	89.389	-175.2444
42.500000	89.394	-175.5354
43.099998	89.397	-175.7810
43.700001	89.400	-176.0214
44.400002	89.403	-176.2944
45.000000	89.406	-176.5226
45.500000	89.408	-176.7100
46.200001	89.411	-176.9684
46.799999	89.414	-177.1855
47.500000	89.416	-177.4319
48.200001	89.418	-177.6724
48.700001	89.420	-177.8430
49.400002	89.423	-178.0832
50.000000	89.425	-178.2898
50.799999	89.426	-178.5625
51.500000	89.426	-178.7971
52.200001	89.425	-179.0284
53.000000	89.424	-179.2877
53.799999	89.423	-179.5399
54.500000	89.422	-179.7559
55.200001	89.421	-179.9689
56.000000	89.420	179.7908
57.000000	89.418	179.4948
58.000000	89.417	179.2029
59.000000	89.414	178.9167
60.000000	89.412	178.6384
60.799999	89.410	178.4205
61.500000	89.408	178.2319
62.200001	89.406	178.0445
63.000000	89.403	177.8319
64.000000	89.399	177.5693
65.000000	89.394	177.3111
66.000000	89.389	177.0571
67.000000	89.383	176.8065
68.000000	89.377	176.5590
69.000000	89.371	176.3155
70.000000	89.365	176.0756
71.000000	89.358	175.8389
72.000000	89.351	175.6055
73.000000	89.344	175.3757
74.000000	89.336	175.1497
75.000000	89.328	174.9275
76.199997	89.317	174.6656
77.500000	89.305	174.3872
78.800003	89.292	174.1139
80.000000	89.279	173.8654
81.199997	89.267	173.6194
82.500000	89.252	173.3554
83.800003	89.237	173.0958
85.000000	89.222	172.8609
86.199997	89.206	172.6311
87.500000	89.188	172.3878
88.500000	89.172	172.2045
90.000000	89.148	171.9378
91.199997	89.127	171.7334
92.500000	89.102	171.5226
93.800003	89.076	171.3250
95.000000	89.049	171.1569
96.199997	89.021	171.0066
97.500000	88.988	170.8702
98.800003	88.954	170.7675
100.000000	88.924	170.7062
101.500000	88.887	170.6745
103.000000	88.854	170.6867
104.400002	88.826	170.7349
106.000000	88.796	170.8462
107.500000	88.772	171.0336
109.000000	88.762	171.3207
110.599998	88.779	171.7041
112.000000	88.827	172.0172
113.800003	88.926	172.2148
115.000000	89.003	172.1467
117.199997	89.126	171.6146
118.000000	89.158	171.3305
120.599998	89.208	170.3198
122.000000	89.207	169.8152
124.099998	89.185	169.1833
125.000000	89.171	168.9622
126.500000	89.146	168.6572
128.000000	89.121	168.4265
131.500000	89.082	168.1365
132.000000	89.081	168.1159
134.000000	89.090	168.0441
136.000000	89.123	167.9136
138.000000	89.172	167.6250
140.000000	89.219	167.1335
143.000000	89.253	166.1306
145.000000	89.243	165.4302
147.500000	89.204	164.6456
150.000000	89.150	163.9953
152.500000	89.093	163.4598
155.000000	89.037	163.0074
157.500000	88.983	162.6114
160.000000	88.932	162.2538
162.500000	88.884	161.9228
165.000000	88.838	161.6109
167.500000	88.793	161.3140
170.000000	88.750	161.0293
172.500000	88.707	160.7553
175.000000	88.665	160.4909
177.500000	88.623	160.2357
180.000000	88.582	159.9893
182.500000	88.540	159.7518
185.000000	88.498	159.5244
187.500000	88.457	159.3090
190.000000	88.415	159.1080
192.500000	88.373	158.9239
195.000000	88.331	158.7591
197.500000	88.290	158.6159
200.000000	88.251	158.4954
203.000000	88.209	158.3784
206.000000	88.173	158.2811
209.000000	88.146	158.1836
212.000000	88.126	158.0612
214.000000	88.115	157.9557
218.000000	88.095	157.6779
220.000000	88.084	157.5095
224.000000	88.057	157.1372
227.000000	88.030	156.8460
230.000000	88.000	156.5581
233.000000	87.966	156.2798
236.000000	87.929	156.0139
240.000000	87.879	155.6797
243.000000	87.839	155.4439
247.000000	87.786	155.1485
250.000000	87.745	154.9406
254.000000	87.691	154.6807
258.000000	87.637	154.4386
262.000000	87.583	154.2132
265.000000	87.543	154.0544
269.000000	87.490	153.8560
272.000000	87.451	153.7165
276.000000	87.399	153.5426
280.000000	87.348	153.3820
285.000000	87.284	153.1986
290.000000	87.220	153.0345
295.000000	87.157	152.8918
300.000000	87.094	152.7735
304.000000	87.045	152.6963
307.000000	87.010	152.6475
311.000000	86.964	152.5941
315.000000	86.922	152.5551
320.000000	86.873	152.5278
325.000000	86.834	152.5173
330.000000	86.807	152.5019
335.000000	86.790	152.4465
340.000000	86.782	152.3153
345.000000	86.775	152.0902
350.000000	86.763	151.7819
355.000000	86.742	151.4228
360.000000	86.709	151.0497
365.000000	86.667	150.6903
370.000000	86.620	150.3593
375.000000	86.568	150.0619
382.000000	86.493	149.6985
387.000000	86.439	149.4707
395.000000	86.354	149.1489
400.000000	86.302	148.9692
406.000000	86.241	148.7712
412.000000	86.181	148.5894
418.000000	86.122	148.4212
425.000000	86.056	148.2392
431.000000	86.000	148.0938
437.000000	85.946	147.9571
444.000000	85.884	147.8074
450.000000	85.832	147.6870
455.000000	85.790	147.5918
462.000000	85.732	147.4657
468.000000	85.683	147.3643
475.000000	85.627	147.2535
482.000000	85.573	147.1501
487.000000	85.534	147.0803
494.000000	85.482	146.9875
500.000000	85.438	146.9129
508.000000	85.381	146.8208
515.000000	85.332	146.7469
522.000000	85.285	146.6789
530.000000	85.232	146.6083
538.000000	85.181	146.5449
545.000000	85.138	146.4952
552.000000	85.095	146.4505
560.000000	85.049	146.4049
570.000000	84.992	146.3560
580.000000	84.938	146.3158
590.000000	84.886	146.2834
600.000000	84.836	146.2584
608.000000	84.798	146.2440
615.000000	84.766	146.2354
622.000000	84.735	146.2303
630.000000	84.702	146.2288
640.000000	84.662	146.2326
650.000000	84.625	146.2412
660.000000	84.591	146.2526
670.000000	84.559	146.2657
680.000000	84.529	146.2808
690.000000	84.501	146.2983
700.000000	84.476	146.3187
710.000000	84.453	146.3417
720.000000	84.432	146.3672
730.000000	84.413	146.3945
740.000000	84.396	146.4234
750.000000	84.382	146.4536
762.000000	84.368	146.4910
775.000000	84.356	146.5317
788.000000	84.349	146.5715
800.000000	84.345	146.6058
812.000000	84.345	146.6364
825.000000	84.348	146.6637
838.000000	84.355	146.6831
850.000000	84.364	146.6924
862.000000	84.377	146.6920
875.000000	84.394	146.6796
