* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 4, 2023 8:51:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.506	34.3704
20.299999	89.524	33.7869
20.600000	89.542	33.2146
20.900000	89.559	32.6535
21.200001	89.577	32.1037
21.400000	89.588	31.7437
21.799999	89.612	31.0400
22.000000	89.623	30.6966
22.400000	89.646	30.0272
22.700001	89.664	29.5409
23.000000	89.681	29.0680
23.299999	89.698	28.6079
23.600000	89.715	28.1602
24.000000	89.737	27.5815
24.299999	89.753	27.1606
24.700001	89.773	26.6168
25.000000	89.787	26.2217
25.400000	89.804	25.7115
25.799999	89.820	25.2189
26.200001	89.834	24.7412
26.500000	89.844	24.3909
26.900000	89.857	23.9327
27.200001	89.866	23.5947
27.600000	89.877	23.1506
28.000000	89.886	22.7138
28.500000	89.898	22.1778
29.000000	89.908	21.6533
29.500000	89.918	21.1406
30.000000	89.927	20.6395
30.400000	89.934	20.2476
30.700001	89.939	19.9597
31.100000	89.945	19.5863
31.500000	89.951	19.2274
32.000000	89.957	18.8018
32.500000	89.963	18.4036
33.000000	89.970	18.0350
33.500000	89.977	17.7003
34.000000	89.988	17.3989
34.500000	90.004	17.1158
35.000000	90.027	16.8224
35.500000	90.054	16.4893
36.000000	90.080	16.1079
36.500000	90.101	15.6944
37.000000	90.115	15.2761
37.500000	90.125	14.8710
38.200001	90.136	14.3312
38.700001	90.142	13.9592
39.500000	90.150	13.3839
40.000000	90.155	13.0388
40.599998	90.159	12.6398
41.200001	90.162	12.2567
41.799999	90.164	11.8901
42.500000	90.166	11.4843
43.099998	90.166	11.1542
43.700001	90.166	10.8392
