* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 3, 2023 4:38:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.116	30.4745
20.299999	88.136	29.8975
20.600000	88.155	29.3327
20.900000	88.173	28.7801
21.200001	88.190	28.2400
21.400000	88.201	27.8872
21.799999	88.222	27.1993
22.000000	88.232	26.8642
22.400000	88.251	26.2115
22.700001	88.265	25.7358
23.000000	88.278	25.2699
23.299999	88.292	24.8116
23.600000	88.306	24.3596
24.000000	88.322	23.7656
24.299999	88.334	23.3276
24.700001	88.348	22.7567
25.000000	88.358	22.3401
25.400000	88.371	21.8011
25.799999	88.384	21.2782
26.200001	88.397	20.7650
26.500000	88.407	20.3827
26.900000	88.420	19.8735
27.200001	88.428	19.4922
27.600000	88.438	18.9879
28.000000	88.445	18.4940
28.500000	88.452	17.8999
29.000000	88.457	17.3364
29.500000	88.462	16.8000
30.000000	88.469	16.2819
30.400000	88.476	15.8743
30.700001	88.481	15.5704
31.100000	88.488	15.1664
31.500000	88.495	14.7639
32.000000	88.502	14.2645
32.500000	88.509	13.7719
33.000000	88.514	13.2883
33.500000	88.519	12.8151
34.000000	88.523	12.3522
34.500000	88.526	11.8992
35.000000	88.529	11.4561
35.500000	88.531	11.0234
36.000000	88.532	10.6017
36.500000	88.532	10.1908
37.000000	88.532	9.7891
37.500000	88.532	9.3950
38.200001	88.531	8.8540
38.700001	88.530	8.4755
39.500000	88.527	7.8839
40.000000	88.525	7.5220
40.599998	88.522	7.0941
41.200001	88.519	6.6722
41.799999	88.515	6.2568
42.500000	88.511	5.7808
43.099998	88.507	5.3805
43.700001	88.502	4.9872
44.400002	88.497	4.5366
45.000000	88.492	4.1567
45.500000	88.488	3.8447
46.200001	88.481	3.4143
46.799999	88.475	3.0515
47.500000	88.467	2.6349
48.200001	88.459	2.2250
48.700001	88.453	1.9363
49.400002	88.444	1.5377
50.000000	88.436	1.2017
50.799999	88.425	0.7618
51.500000	88.416	0.3839
52.200001	88.406	0.0125
53.000000	88.394	-0.4041
53.799999	88.382	-0.8126
54.500000	88.371	-1.1641
55.200001	88.360	-1.5100
56.000000	88.347	-1.8986
57.000000	88.330	-2.3748
58.000000	88.312	-2.8414
59.000000	88.294	-3.2991
60.000000	88.276	-3.7480
60.799999	88.261	-4.1010
61.500000	88.247	-4.4054
62.200001	88.234	-4.7056
63.000000	88.218	-5.0436
64.000000	88.198	-5.4587
65.000000	88.178	-5.8661
66.000000	88.157	-6.2657
67.000000	88.136	-6.6575
68.000000	88.114	-7.0420
69.000000	88.092	-7.4199
70.000000	88.070	-7.7913
71.000000	88.048	-8.1564
72.000000	88.025	-8.5151
73.000000	88.002	-8.8672
74.000000	87.979	-9.2135
75.000000	87.956	-9.5538
76.199997	87.927	-9.9545
77.500000	87.896	-10.3793
78.800003	87.865	-10.7949
80.000000	87.835	-11.1715
81.199997	87.806	-11.5411
82.500000	87.773	-11.9337
83.800003	87.740	-12.3182
85.000000	87.710	-12.6660
86.199997	87.679	-13.0069
87.500000	87.646	-13.3689
88.500000	87.620	-13.6422
90.000000	87.581	-14.0445
91.199997	87.549	-14.3601
92.500000	87.515	-14.6957
93.800003	87.480	-15.0248
95.000000	87.449	-15.3229
96.199997	87.416	-15.6157
97.500000	87.382	-15.9271
98.800003	87.347	-16.2324
100.000000	87.314	-16.5090
101.500000	87.273	-16.8477
103.000000	87.232	-17.1787
104.400002	87.194	-17.4811
106.000000	87.150	-17.8192
107.500000	87.109	-18.1290
109.000000	87.067	-18.4322
110.599998	87.023	-18.7484
112.000000	86.984	-19.0193
